step	cyano	ecw	
0	2.059506e-14	9.977492e-15	
100	2.088076e-14	9.778737e-15	
200	2.117043e-14	9.593305e-15	
300	2.146412e-14	9.420736e-15	
400	2.176188e-14	9.260390e-15	
500	2.206377e-14	9.111672e-15	
600	2.236985e-14	8.974022e-15	
700	2.268018e-14	8.846961e-15	
800	2.299481e-14	8.730043e-15	
900	2.331380e-14	8.622861e-15	
1000	2.363723e-14	8.525053e-15	
1100	2.396513e-14	8.436288e-15	
1200	2.429759e-14	8.356273e-15	
1300	2.463466e-14	8.284745e-15	
1400	2.497640e-14	8.221470e-15	
1500	2.532289e-14	8.166241e-15	
1600	2.567418e-14	8.118878e-15	
1700	2.603035e-14	8.079228e-15	
1800	2.639145e-14	8.047157e-15	
1900	2.675757e-14	8.022557e-15	
2000	2.712877e-14	8.005341e-15	
2100	2.750511e-14	7.995443e-15	
2200	2.788668e-14	7.992818e-15	
2300	2.827353e-14	7.997438e-15	
2400	2.866576e-14	8.009299e-15	
2500	2.906343e-14	8.028408e-15	
2600	2.946661e-14	8.054800e-15	
2700	2.987538e-14	8.088525e-15	
2800	3.028983e-14	8.129655e-15	
2900	3.071003e-14	8.178276e-15	
3000	3.113605e-14	8.234485e-15	
3100	3.156799e-14	8.298418e-15	
3200	3.200592e-14	8.370221e-15	
3300	3.244992e-14	8.450059e-15	
3400	3.290008e-14	8.538116e-15	
3500	3.335649e-14	8.634597e-15	
3600	3.381923e-14	8.739727e-15	
3700	3.428839e-14	8.853751e-15	
3800	3.476405e-14	8.976939e-15	
3900	3.524632e-14	9.109580e-15	
4000	3.573527e-14	9.251970e-15	
4100	3.623101e-14	9.404463e-15	
4200	3.673363e-14	9.567418e-15	
4300	3.724321e-14	9.741217e-15	
4400	3.775987e-14	9.926274e-15	
4500	3.828370e-14	1.012303e-14	
4600	3.881479e-14	1.033197e-14	
4700	3.935325e-14	1.055355e-14	
4800	3.989917e-14	1.078833e-14	
4900	4.045268e-14	1.103683e-14	
5000	4.101386e-14	1.129966e-14	
5100	4.158282e-14	1.157737e-14	
5200	4.215968e-14	1.187063e-14	
5300	4.274454e-14	1.218017e-14	
5400	4.333752e-14	1.250664e-14	
5500	4.393872e-14	1.285085e-14	
5600	4.454826e-14	1.321353e-14	
5700	4.516625e-14	1.359546e-14	
5800	4.579282e-14	1.399748e-14	
5900	4.642809e-14	1.442043e-14	
6000	4.707216e-14	1.486520e-14	
6100	4.772517e-14	1.533274e-14	
6200	4.838724e-14	1.582399e-14	
6300	4.905849e-14	1.633984e-14	
6400	4.973906e-14	1.688138e-14	
6500	5.042906e-14	1.744964e-14	
6600	5.112864e-14	1.804570e-14	
6700	5.183792e-14	1.867049e-14	
6800	5.255705e-14	1.932506e-14	
6900	5.328615e-14	2.001050e-14	
7000	5.402536e-14	2.072779e-14	
7100	5.477483e-14	2.147796e-14	
7200	5.553469e-14	2.226200e-14	
7300	5.630510e-14	2.308083e-14	
7400	5.708619e-14	2.393547e-14	
7500	5.787812e-14	2.482663e-14	
7600	5.868103e-14	2.575518e-14	
7700	5.949509e-14	2.672177e-14	
7800	6.032044e-14	2.772706e-14	
7900	6.115723e-14	2.877146e-14	
8000	6.200564e-14	2.985529e-14	
8100	6.286581e-14	3.097872e-14	
8200	6.373792e-14	3.214187e-14	
8300	6.462212e-14	3.334454e-14	
8400	6.551859e-14	3.458646e-14	
8500	6.642750e-14	3.586706e-14	
8600	6.734902e-14	3.718568e-14	
8700	6.828332e-14	3.854127e-14	
8800	6.923058e-14	3.993256e-14	
8900	7.019098e-14	4.135825e-14	
9000	7.116471e-14	4.281660e-14	
9100	7.215194e-14	4.430568e-14	
9200	7.315287e-14	4.582339e-14	
9300	7.416769e-14	4.736716e-14	
9400	7.519658e-14	4.893433e-14	
9500	7.623974e-14	5.052229e-14	
9600	7.729738e-14	5.212829e-14	
9700	7.836969e-14	5.374907e-14	
9800	7.945688e-14	5.538149e-14	
9900	8.055914e-14	5.702236e-14	
10000	8.167670e-14	5.866851e-14	
