step	sub	o2	suc	co2	
0	1.000000e-01	9.000000e-03	3.420000e-20	7.000000e-02	
100	1.000000e-01	9.000686e-03	2.901526e-02	6.999886e-02	
200	1.000000e-01	9.000696e-03	5.745297e-02	6.999884e-02	
300	1.000000e-01	9.000706e-03	8.621288e-02	6.999882e-02	
400	1.000000e-01	9.000716e-03	1.153061e-01	6.999881e-02	
500	1.000000e-01	9.000726e-03	1.447417e-01	6.999879e-02	
600	1.000000e-01	9.000736e-03	1.745282e-01	6.999877e-02	
700	1.000000e-01	9.000752e-03	2.046733e-01	6.999875e-02	
800	1.000000e-01	9.000763e-03	2.351844e-01	6.999873e-02	
900	1.000000e-01	9.000767e-03	2.660683e-01	6.999872e-02	
1000	1.000000e-01	9.000778e-03	2.973316e-01	6.999870e-02	
1100	1.000000e-01	9.000786e-03	3.289807e-01	6.999869e-02	
1200	1.000000e-01	9.000797e-03	3.610216e-01	6.999867e-02	
1300	1.000000e-01	9.000809e-03	3.934596e-01	6.999865e-02	
1400	1.000000e-01	9.000823e-03	4.263000e-01	6.999863e-02	
1500	1.000000e-01	9.000831e-03	4.595477e-01	6.999861e-02	
1600	1.000000e-01	9.000839e-03	4.932071e-01	6.999860e-02	
1700	1.000000e-01	9.000851e-03	5.272823e-01	6.999858e-02	
1800	1.000000e-01	9.000863e-03	5.617772e-01	6.999856e-02	
1900	1.000000e-01	9.000875e-03	5.966952e-01	6.999854e-02	
2000	1.000000e-01	9.000886e-03	6.320392e-01	6.999852e-02	
2100	1.000000e-01	9.000898e-03	6.678119e-01	6.999850e-02	
2200	1.000000e-01	9.000915e-03	7.040153e-01	6.999847e-02	
2300	1.000000e-01	9.000928e-03	7.406511e-01	6.999845e-02	
2400	1.000000e-01	9.000942e-03	7.777201e-01	6.999843e-02	
2500	1.000000e-01	9.000956e-03	8.152230e-01	6.999840e-02	
2600	1.000000e-01	9.000971e-03	8.531599e-01	6.999838e-02	
2700	1.000000e-01	9.000985e-03	8.915297e-01	6.999835e-02	
2800	1.000000e-01	9.000999e-03	9.303309e-01	6.999833e-02	
