step	cyano	ecw	
0	5.718806e-14	2.130564e-15	
100	5.801821e-14	2.090270e-15	
200	5.886042e-14	2.054673e-15	
300	5.971486e-14	2.023487e-15	
400	6.058169e-14	1.996517e-15	
500	6.146111e-14	1.973591e-15	
600	6.235330e-14	1.954559e-15	
700	6.325844e-14	1.939301e-15	
800	6.417671e-14	1.927709e-15	
900	6.510832e-14	1.919702e-15	
1000	6.605345e-14	1.915218e-15	
1100	6.701230e-14	1.914214e-15	
1200	6.798507e-14	1.916656e-15	
1300	6.897196e-14	1.922536e-15	
1400	6.997317e-14	1.931867e-15	
1500	7.098892e-14	1.944680e-15	
1600	7.201942e-14	1.961020e-15	
1700	7.306487e-14	1.980952e-15	
1800	7.412550e-14	2.004560e-15	
1900	7.520153e-14	2.031948e-15	
2000	7.629317e-14	2.063239e-15	
2100	7.740067e-14	2.098578e-15	
2200	7.852424e-14	2.138130e-15	
2300	7.966411e-14	2.182084e-15	
2400	8.082054e-14	2.230642e-15	
2500	8.199375e-14	2.284054e-15	
2600	8.318400e-14	2.342583e-15	
2700	8.439152e-14	2.406521e-15	
2800	8.561657e-14	2.476189e-15	
2900	8.685940e-14	2.551957e-15	
3000	8.812028e-14	2.634221e-15	
3100	8.939945e-14	2.723397e-15	
3200	9.069720e-14	2.819986e-15	
3300	9.201379e-14	2.924526e-15	
3400	9.334948e-14	3.037585e-15	
3500	9.470457e-14	3.159791e-15	
3600	9.607933e-14	3.291837e-15	
3700	9.747404e-14	3.434489e-15	
3800	9.888900e-14	3.588576e-15	
3900	1.003245e-13	3.755004e-15	
4000	1.017808e-13	3.934789e-15	
4100	1.032583e-13	4.129002e-15	
4200	1.047572e-13	4.338856e-15	
4300	1.062779e-13	4.565656e-15	
4400	1.078207e-13	4.810810e-15	
4500	1.093858e-13	5.075860e-15	
4600	1.109737e-13	5.362518e-15	
4700	1.125846e-13	5.672720e-15	
4800	1.142189e-13	6.008449e-15	
4900	1.158770e-13	6.371916e-15	
5000	1.175591e-13	6.765547e-15	
5100	1.192656e-13	7.191988e-15	
5200	1.209969e-13	7.654105e-15	
5300	1.227533e-13	8.155050e-15	
5400	1.245352e-13	8.698343e-15	
5500	1.263430e-13	9.287600e-15	
5600	1.281771e-13	9.926887e-15	
5700	1.300377e-13	1.062058e-14	
5800	1.319254e-13	1.137340e-14	
5900	1.338404e-13	1.219060e-14	
6000	1.357833e-13	1.307751e-14	
6100	1.377544e-13	1.404043e-14	
6200	1.397540e-13	1.508579e-14	
6300	1.417827e-13	1.622050e-14	
6400	1.438409e-13	1.745191e-14	
6500	1.459289e-13	1.878804e-14	
6600	1.480473e-13	2.023736e-14	
6700	1.501964e-13	2.180864e-14	
6800	1.523767e-13	2.351173e-14	
6900	1.545886e-13	2.535678e-14	
7000	1.568327e-13	2.735433e-14	
7100	1.591093e-13	2.951516e-14	
7200	1.614190e-13	3.185080e-14	
7300	1.637622e-13	3.437169e-14	
7400	1.661394e-13	3.708789e-14	
7500	1.685511e-13	4.001037e-14	
7600	1.709978e-13	4.314800e-14	
7700	1.734801e-13	4.650930e-14	
7800	1.759984e-13	5.010167e-14	
7900	1.785532e-13	5.393287e-14	
8000	1.811451e-13	5.800465e-14	
8100	1.837747e-13	6.231565e-14	
8200	1.864424e-13	6.686289e-14	
8300	1.891489e-13	7.163879e-14	
8400	1.918946e-13	7.662996e-14	
8500	1.946802e-13	8.181816e-14	
8600	1.975062e-13	8.717801e-14	
8700	2.003733e-13	9.267916e-14	
8800	2.032819e-13	9.828654e-14	
8900	2.062328e-13	1.039629e-13	
9000	2.092266e-13	1.096614e-13	
9100	2.122638e-13	1.153322e-13	
9200	2.153450e-13	1.209246e-13	
9300	2.184710e-13	1.263866e-13	
9400	2.216424e-13	1.316699e-13	
9500	2.248598e-13	1.367322e-13	
9600	2.281240e-13	1.415376e-13	
9700	2.314355e-13	1.460611e-13	
9800	2.347951e-13	1.502878e-13	
9900	2.382034e-13	1.542124e-13	
10000	2.416612e-13	1.578403e-13	
