step	cyano	ecw	
0	60	18	
100	60	19	
200	60	19	
300	60	19	
400	61	19	
500	61	19	
600	61	19	
700	64	19	
800	64	19	
900	69	19	
1000	70	19	
1100	72	19	
1200	72	19	
1300	72	19	
1400	73	19	
1500	75	19	
1600	76	19	
1700	76	19	
1800	77	19	
1900	77	19	
2000	78	19	
2100	78	19	
2200	79	19	
2300	81	19	
2400	85	20	
2500	85	23	
2600	85	24	
2700	86	26	
2800	86	28	
2900	88	28	
3000	89	28	
3100	92	29	
3200	92	29	
3300	92	30	
3400	93	32	
3500	94	34	
3600	96	34	
3700	97	35	
3800	97	36	
3900	98	37	
4000	98	38	
4100	98	41	
4200	99	44	
4300	99	45	
4400	99	45	
4500	102	47	
4600	106	53	
4700	107	58	
4800	111	61	
4900	112	66	
5000	113	67	
5100	113	72	
5200	115	76	
5300	118	77	
5400	120	82	
5500	123	91	
5600	128	95	
5700	129	105	
5800	129	111	
5900	132	122	
6000	133	130	
6100	135	139	
6200	136	146	
6300	139	158	
6400	139	164	
6500	143	180	
6600	148	192	
6700	150	211	
6800	157	226	
6900	158	246	
7000	159	270	
7100	161	295	
7200	163	310	
7300	166	328	
7400	168	358	
7500	170	389	
7600	171	417	
7700	174	447	
7800	175	490	
7900	177	532	
8000	178	566	
8100	181	607	
8200	183	658	
8300	185	697	
8400	188	745	
8500	190	797	
8600	191	855	
8700	194	914	
8800	198	966	
8900	199	1024	
9000	201	1092	
9100	202	1169	
9200	208	1221	
9300	210	1273	
9400	214	1323	
9500	217	1372	
9600	218	1430	
9700	221	1480	
9800	224	1535	
9900	230	1576	
10000	234	1607	
