"step	sub	o2	suc	co2	"
"0	1.000000e-01	9.000000e-03	3.420000e-20	4.400000e+01	"
"100	1.000000e-01	9.003127e-03	1.711759e-03	4.400000e+01	"
"200	1.000000e-01	9.003178e-03	3.394875e-03	4.400000e+01	"
"300	1.000000e-01	9.003230e-03	5.102074e-03	4.400000e+01	"
"400	1.000000e-01	9.003282e-03	6.834109e-03	4.400000e+01	"
"500	1.000000e-01	9.003335e-03	8.591590e-03	4.400000e+01	"
"600	1.000000e-01	9.003389e-03	1.037508e-02	4.400000e+01	"
"700	1.000000e-01	9.003444e-03	1.218515e-02	4.400000e+01	"
"800	1.000000e-01	9.003500e-03	1.402234e-02	4.400000e+01	"
"900	1.000000e-01	9.003557e-03	1.588721e-02	4.400000e+01	"
"1000	1.000000e-01	9.003614e-03	1.778031e-02	4.400000e+01	"
